trigger_category,min_urge_level,action_text,rationale
HUNGRY,PASSING,"Drink 16oz of cold water and eat a protein-rich snack like almonds, cheese, or peanut butter.","Low blood sugar mimics physical anxiety and dopamine cravings. Fueling your body stabilizes nervous system triggers."
HUNGRY,PASSING,"Prepare a warm cup of herbal tea and focus solely on the sensation of warmth in your hands.","Warm liquids trigger the parasympathetic rest-and-digest response, reducing physiological tension."
HUNGRY,WHITE_KNUCKLING,"Eat something with intense flavor—a slice of lemon, a pickle, or a mint. Chew slowly for 60 seconds.","Strong gustatory sensations shock the sensory cortex and interrupt obsessive behavioral feedback loops."
HUNGRY,WHITE_KNUCKLING,"Eat a balanced solid meal. Step away from all screens while you eat.","Mindful eating engages the enteric nervous system and halts fight-or-flight panic driven by hypoglycemia."
HUNGRY,CRITICAL,"Put an ice cube in your mouth. Let it melt completely without biting it while drinking a glass of cold water.","Somatic temperature disruption forces immediate nervous system regulation through the mammalian dive reflex."
ANGRY,PASSING,"Do 20 vigorous jumping jacks or pushups against a wall to release adrenaline.","Physical exertion metabolizes excess cortisol and epinephrine generated by anger."
ANGRY,WHITE_KNUCKLING,"Grab a piece of scrap paper and write down everything you are furious about. Then tear it into tiny shreds.","Externalizing rage kinesthetically provides symbolic catharsis without destructive real-world fallout."
ANGRY,WHITE_KNUCKLING,"Clench both fists as tightly as possible for 10 seconds, then completely release. Repeat 3 times.","Progressive muscle relaxation releases neuromuscular tension held during emotional flare-ups."
ANGRY,CRITICAL,"Step outside immediately. Walk at a brisk pace for 10 minutes without looking at your phone.","Changing your physical geography removes immediate anger stimuli and engages bilateral brain stimulation."
LONELY,PASSING,"Send a simple check-in text to a friend, sponsor, or family member: 'Thinking of you, hope you're having a good day.'","Outward-focused connection shifts the brain out of self-isolation and activates social safety circuits."
LONELY,WHITE_KNUCKLING,"Call your sponsor or a recovery support line right now. You do not have to know what to say.","Vocal interaction activates the ventral vagal complex, rapidly reducing feelings of acute isolation."
LONELY,CRITICAL,"Open a virtual or local recovery meeting finder and join an open session immediately.","Immersing in a recovery community replaces isolation with shared purpose and mutual safety."
TIRED,PASSING,"Splash cold water on your face, wrists, and the back of your neck.","Cold cutaneous stimulation activates sympathetic alertness and increases cerebral blood flow."
TIRED,WHITE_KNUCKLING,"Lie down, close your eyes, and set a timer for a 20-minute power nap or non-sleep deep rest (NSDR).","Exhaustion erodes prefrontal willpower; a brief neurological reset restores impulse control capacity."
TIRED,CRITICAL,"Turn down the lights, put your phone away, and prepare your bed for sleep.","Many urges are simply fatigue in disguise. The urge will pass once your body receives restorative rest."
STRESSED,PASSING,"Look around you and name 5 things you see, 4 you feel, 3 you hear, 2 you smell, and 1 good thing about yourself.","The 5-4-3-2-1 somatic grounding method anchors awareness in the present moment, halting panic spirals."
STRESSED,WHITE_KNUCKLING,"Complete 4 rounds of box breathing: Inhale 4s, Hold 4s, Exhale 4s, Hold 4s.","Equalized respiratory rhythm down-regulates amygdala hyperactivity and lowers heart rate variability stress."
STRESSED,CRITICAL,"Drop your shoulders away from your ears, unclench your jaw, and uncurl your toes. Breathe out completely.","Conscious release of physical guarding signals safety to the primitive survival brain."
HOPELESS,PASSING,"Remind yourself: 'I only have to stay clear for the next 15 minutes.' Set a 15-minute timer.","Time horizon contraction prevents the brain from being overwhelmed by the weight of forever."
HOPELESS,WHITE_KNUCKLING,"Look back at your cumulative days clear. That progress is permanent and cannot be erased.","Objective visual evidence of past success refutes catastrophic all-or-nothing cognitive distortions."
HOPELESS,CRITICAL,"Call or text 988 or SAMHSA 1-800-662-4357 right now. You are worthy of support.","Professional crisis counselors provide non-judgmental presence to carry you through deep despair."
GENERAL,PASSING,"Urge Surfing: Picture the craving as an ocean wave. It rises, peaks, and naturally breaks within 15 minutes.","Urges are neurochemical surges that naturally decay when observed with curiosity rather than struggle."
GENERAL,WHITE_KNUCKLING,"Change your physical posture: Stand tall, stretch your arms overhead, and look up at the sky or ceiling.","Postural expansion alters endocrine feedback and breaks habitual physical triggers associated with urges."
GENERAL,CRITICAL,"Get up and move to a different room right now. Do not stay in the spot where the urge hit you.","Physical environmental transitions disrupt conditioned behavioral cue responses."
